Games,Year,Gender,Event,Participant,Country,Distance,Time_S,Mark
Rio di Janeiro 2016,2016,mens,100m,Usain BOLT,JAM,100,9.81,
Rio di Janeiro 2016,2016,mens,200m,Usain BOLT,JAM,200,19.78,
Rio di Janeiro 2016,2016,mens,400m,Wayde VAN NIEKERK,RSA,400,43.03,
Rio di Janeiro 2016,2016,mens,800m,Lekuta RUDISHA,KEN,800,102.15,
Rio di Janeiro 2016,2016,mens,1500m,Matthew CENTROWITZ,USA,1500,230,
Rio di Janeiro 2016,2016,mens,5000m,Mohamed FARAH,GBR,5000,783.3,
Rio di Janeiro 2016,2016,mens,10-000m,Mohamed FARAH,GBR,10000,1625.17,
Rio di Janeiro 2016,2016,mens,marathon,Eliud KIPCHOGE,KEN,42195,7724,
Rio di Janeiro 2016,2016,mens,long-jump,Jeff HENDERSON,USA,,8.38,8.38
Rio di Janeiro 2016,2016,mens,high-jump,Derek DROUIN,CAN,,2.38,2.38
Rio di Janeiro 2016,2016,mens,pole-vault,Braz DA SILVA,BRA,,6.03,6.03
Rio di Janeiro 2016,2016,mens,triple-jump,Christian TAYLOR,USA,,17.86,17.86
Rio di Janeiro 2016,2016,mens,20km-walk,Zhen WANG,CHN,20000,4754,
Rio di Janeiro 2016,2016,mens,4-x-100m-relay,Jamaica,JAM,400,37.27,
Rio di Janeiro 2016,2016,mens,4-x-400m-relay,United States,USA,1600,177.3,
London 2012,2012,men,10000m,Mo FARAH,GBR,10000,1650.42,
London 2012,2012,men,100m,Usain BOLT,JAM,100,9.63,
London 2012,2012,men,1500m,Taoufik MAKHLOUFI,ALG,1500,214.08,
London 2012,2012,men,200m,Usain BOLT,JAM,200,19.32,
London 2012,2012,men,20km-walk,Ding CHEN,CHN,20000,4726,
London 2012,2012,men,400m,Kirani JAMES,GRN,400,43.94,
London 2012,2012,men,4x100m-relay,,JAM,400,36.84,
London 2012,2012,men,4x400m-relay,,BAH,1600,176.72,
London 2012,2012,men,5000m,Mo FARAH,GBR,5000,821.66,
London 2012,2012,men,800m,David Lekuta RUDISHA,KEN,800,100.91,
London 2012,2012,men,high-jump,Ivan UKHOV,RUS,,,2.38
London 2012,2012,men,long-jump,Greg RUTHERFORD,GBR,,,8.31
London 2012,2012,men,marathon,Stephen KIPROTICH,UGA,42195,7681,
London 2012,2012,men,pole-vault,Renaud LAVILLENIE,FRA,,,5.97
London 2012,2012,men,triple-jump,Christian TAYLOR,USA,,,17.81
Beijing 2008,2008,men,10000m,Kenenisa BEKELE,ETH,10000,1621.17,
Beijing 2008,2008,men,100m,Usain BOLT,JAM,100,9.69,
Beijing 2008,2008,men,1500m,Asbel Kipruto KIPROP,KEN,1500,213.11,
Beijing 2008,2008,men,200m,Usain BOLT,JAM,200,19.3,
Beijing 2008,2008,men,20km-walk,Valeriy BORCHIN,RUS,20000,4741,
Beijing 2008,2008,men,400m,Lashawn MERRITT,USA,400,43.75,
Beijing 2008,2008,men,4x100m-relay,,JAM,400,37.1,
Beijing 2008,2008,men,4x400m-relay,,USA,1600,175.39,
Beijing 2008,2008,men,5000m,Kenenisa BEKELE,ETH,5000,777.82,
Beijing 2008,2008,men,800m,Wilfred BUNGEI,KEN,800,104.65,
Beijing 2008,2008,men,high-jump,Andrey SILNOV,RUS,,,2.36
Beijing 2008,2008,men,long-jump,Irving SALADINO,PAN,,,8.34
Beijing 2008,2008,men,marathon,Samuel Kamau WANJIRU,KEN,42195,7592,
Beijing 2008,2008,men,pole-vault,Steve HOOKER,AUS,,,5.96
Beijing 2008,2008,men,triple-jump,Nelson EVORA,POR,,,17.67
Athens 2004,2004,men,10000m,Kenenisa BEKELE,ETH,10000,1625.1,
Athens 2004,2004,men,100m,Justin GATLIN,USA,100,9.85,
Athens 2004,2004,men,1500m,Hicham EL GUERROUJ,MAR,1500,214.18,
Athens 2004,2004,men,200m,Shawn CRAWFORD,USA,200,19.79,
Athens 2004,2004,men,20km-walk,Ivano BRUGNETTI,ITA,20000,4780,
Athens 2004,2004,men,400m,Jeremy WARINER,USA,400,44,
Athens 2004,2004,men,4x100m-relay,,GBR,400,38.07,
Athens 2004,2004,men,4x400m-relay,,USA,1600,175.91,
Athens 2004,2004,men,5000m,Hicham EL GUERROUJ,MAR,5000,794.39,
Athens 2004,2004,men,800m,Yuriy BORZAKOVSKIY,RUS,800,104.45,
Athens 2004,2004,men,high-jump,Stefan HOLM,SWE,,,2.36
