Games,Year,Gender,Event,Participant,Country,Distance,Time_S,Mark
Rio di Janeiro 2016,2016,womens,100m,Elaine THOMPSON,JAM,100,10.71,
Rio di Janeiro 2016,2016,womens,200m,Elaine THOMPSON,JAM,200,21.78,
Rio di Janeiro 2016,2016,womens,400m,Shaunae MILLER,BAH,400,49.44,
Rio di Janeiro 2016,2016,womens,800m,Caster SEMENYA,RSA,800,115.28,
Rio di Janeiro 2016,2016,womens,1500m,Chepngetich KIPYEGON,KEN,1500,248.92,
Rio di Janeiro 2016,2016,womens,5000m,Jepkemoi CHERUIYOT,KEN,5000,866.17,
Rio di Janeiro 2016,2016,womens,10-000m,Almaz AYANA,ETH,10000,1757.45,
Rio di Janeiro 2016,2016,womens,marathon,Jelagat SUMGONG,KEN,42195,8644,
Rio di Janeiro 2016,2016,womens,long-jump,Tianna BARTOLETTA,USA,,,7.17
Rio di Janeiro 2016,2016,womens,high-jump,Ruth BEITIA,ESP,,,1.97
Rio di Janeiro 2016,2016,womens,pole-vault,Ekaterini STEFANIDI,GRE,,,4.85
Rio di Janeiro 2016,2016,womens,triple-jump,Caterine IBARGUEN,COL,,,15.17
Rio di Janeiro 2016,2016,womens,20km-walk,Hong LIU,CHN,20000,5315,
Rio di Janeiro 2016,2016,womens,4-x-100m-relay,United States,USA,400,41.01,
Rio di Janeiro 2016,2016,womens,4-x-400m-relay,United States,USA,1600,199.06,
London 2012,2012,womens,10000m,Tirunesh DIBABA,ETH,10000,1820.75,
London 2012,2012,womens,100m,Shelly-Ann FRASER-PRYCE,JAM,100,10.75,
London 2012,2012,womens,1500m,Asli CAKIR ALPTEKIN,TUR,1500,250.23,
London 2012,2012,womens,200m,Allyson FELIX,USA,200,21.88,
London 2012,2012,womens,20km-walk,Elena LASHMANOVA,RUS,20000,5102,
London 2012,2012,womens,400m,Sanya RICHARDS-ROSS,USA,400,49.55,
London 2012,2012,womens,4x100m-relay,,USA,400,40.82,
London 2012,2012,womens,4x400m-relay,,USA,1600,196.87,
London 2012,2012,womens,5000m,Meseret DEFAR,ETH,5000,904.25,
London 2012,2012,womens,800m,Mariya SAVINOVA,RUS,800,116.19,
