Games,Year,Participant,Gender,Event,Country,Distance,Time_S
Rio di Janeiro 2016,2016,Katinka HOSSZU,womens,100m-backstroke,HUN,100,58.45
Rio di Janeiro 2016,2016,Lillia KING,womens,100m-breaststroke,USA,100,64.93
Rio di Janeiro 2016,2016,Sarah SJOSTROM,womens,100m-butterfly,SWE,100,55.48
Rio di Janeiro 2016,2016,Simone MANUEL,womens,100m-freestyle,USA,100,52.7
Rio di Janeiro 2016,2016,Madeline DIRADO,womens,200m-backstroke,USA,200,125.99
Rio di Janeiro 2016,2016,Rie KANETO,womens,200m-breaststroke,JPN,200,140.3
Rio di Janeiro 2016,2016,Mireia BELMONTE GARCIA,womens,200m-butterfly,ESP,200,124.85
Rio di Janeiro 2016,2016,Kathleen LEDECKY,womens,200m-freestyle,USA,200,113.73
Rio di Janeiro 2016,2016,Katinka HOSSZU,womens,200m-individual-medley,HUN,200,126.58
Rio di Janeiro 2016,2016,Kathleen LEDECKY,womens,400m-freestyle,USA,400,236.46
Rio di Janeiro 2016,2016,Katinka HOSSZU,womens,400m-individual-medley,HUN,400,266.36
Rio di Janeiro 2016,2016,Australia,womens,4x100m-freestyle-relay,AUS,400,210.65
Rio di Janeiro 2016,2016,United States,womens,4x100m-medley-relay,USA,400,233.13
Rio di Janeiro 2016,2016,United States,womens,4x200m-freestyle-relay,USA,800,463.03
Rio di Janeiro 2016,2016,Pernille BLUME,womens,50m-freestyle,DEN,50,24.07
London 2012,2012,Missy FRANKLIN,women,100m-backstroke,USA,100,58.33
London 2012,2012,Ruta MEILUTYTE,women,100m-breaststroke,LTU,100,65.47
London 2012,2012,Dana VOLLMER,women,100m-butterfly,USA,100,55.98
London 2012,2012,Ranomi KROMOWIDJOJO,women,100m-freestyle,NED,100,53
London 2012,2012,Missy FRANKLIN,women,200m-backstroke,USA,200,124.06
London 2012,2012,Rebecca SONI,women,200m-breaststroke,USA,200,139.59
London 2012,2012,Liuyang JIAO,women,200m-butterfly,CHN,200,124.06
London 2012,2012,Allison SCHMITT,women,200m-freestyle,USA,200,113.61
London 2012,2012,Shiwen YE,women,200m-individual-medley,CHN,200,127.57
London 2012,2012,Camille MUFFAT,women,400m-freestyle,FRA,400,241.45
London 2012,2012,Shiwen YE,women,400m-individual-medley,CHN,400,268.43
London 2012,2012,,women,4x100m-freestyle-relay,AUS,400,213.15
London 2012,2012,,women,4x100m-medley-relay,USA,400,232.05
London 2012,2012,,women,4x200m-freestyle-relay,USA,800,462.92
London 2012,2012,Ranomi KROMOWIDJOJO,women,50m-freestyle,NED,50,24.05
Beijing 2008,2008,Natalie COUGHLIN,women,100m-backstroke,USA,100,58.96
Beijing 2008,2008,Leisel JONES,women,100m-breaststroke,AUS,100,65.17
Beijing 2008,2008,Libby TRICKETT,women,100m-butterfly,AUS,100,56.73
Beijing 2008,2008,Britta STEFFEN,women,100m-freestyle,GER,100,53.12
Beijing 2008,2008,Kirsty COVENTRY,women,200m-backstroke,ZIM,200,125.24
Beijing 2008,2008,Rebecca SONI,women,200m-breaststroke,USA,200,140.22
Beijing 2008,2008,Zige LIU,women,200m-butterfly,CHN,200,124.18
Beijing 2008,2008,Federica PELLEGRINI,women,200m-freestyle,ITA,200,114.82
Beijing 2008,2008,Stephanie RICE,women,200m-individual-medley,AUS,200,128.45
Beijing 2008,2008,Rebecca ADLINGTON,women,400m-freestyle,GBR,400,243.22
Beijing 2008,2008,Stephanie RICE,women,400m-individual-medley,AUS,400,269.45
Beijing 2008,2008,,women,4x100m-freestyle-relay,NED,400,213.76
Beijing 2008,2008,,women,4x100m-medley-relay,AUS,400,232.69
Beijing 2008,2008,,women,4x200m-freestyle-relay,AUS,800,464.31
Beijing 2008,2008,Britta STEFFEN,women,50m-freestyle,GER,50,24.06
Athens 2004,2004,Natalie COUGHLIN,women,100m-backstroke,USA,100,60.37
Athens 2004,2004,Xuejuan LUO,women,100m-breaststroke,CHN,100,66.64
Athens 2004,2004,Petria THOMAS,women,100m-butterfly,AUS,100,57.72
Athens 2004,2004,Jodie HENRY,women,100m-freestyle,AUS,100,53.84
Athens 2004,2004,Kirsty COVENTRY,women,200m-backstroke,ZIM,200,129.19
Athens 2004,2004,Amanda BEARD,women,200m-breaststroke,USA,200,143.37
Athens 2004,2004,Otylia JEDRZEJCZAK,women,200m-butterfly,POL,200,126.05
Athens 2004,2004,Camelia POTEC,women,200m-freestyle,ROU,200,118.03
Athens 2004,2004,Yana KLOCHKOVA,women,200m-individual-medley,UKR,200,131.14
Athens 2004,2004,Laure MANAUDOU,women,400m-freestyle,FRA,400,245.34
Athens 2004,2004,Yana KLOCHKOVA,women,400m-individual-medley,UKR,400,274.83
Athens 2004,2004,,women,4x100m-freestyle-relay,AUS,400,215.94
Athens 2004,2004,,women,4x100m-medley-relay,AUS,400,237.32
Athens 2004,2004,,women,4x200m-freestyle-relay,USA,800,473.42
Athens 2004,2004,Inge DE BRUIJN,women,50m-freestyle,NED,50,24.58
Sydney 2000,2000,Diana MOCANU,women,100m-backstroke,ROU,100,60.21
Sydney 2000,2000,Megan QUANN,women,100m-breaststroke,USA,100,67.05
Sydney 2000,2000,Inge DE BRUIJN,women,100m-butterfly,NED,100,56.61
Sydney 2000,2000,Inge DE BRUIJN,women,100m-freestyle,NED,100,53.83
Sydney 2000,2000,Diana MOCANU,women,200m-backstroke,ROU,200,128.16
Sydney 2000,2000,Ágnes KOVÁCS,women,200m-breaststroke,HUN,200,144.35
