"Event","Gender","Participant","Country","Venue","Date","Distance","Time_S"
"100m","womens","Florence Griffith-Joyner","USA","Indianapolis","1988-07-16",100,10.49
"200m","womens","Florence Griffith-Joyner","USA","Seoul (OG)","1988-09-29",200,21.34
"400m","womens","Marita Koch","GDR","Canberra","1985-10-06",400,47.6
"4x100m","womens","Tianna Bartoletta,Allyson Felix,Bianca Knight,Carmelita Jeter","USA","London (OG)","2012-08-10",400,40.82
"800m","womens","Jarmila Kratochvílová","CZE","München","1983-07-26",800,113.28
"1500m","womens","Genzebe Dibaba","ETH","Monaco","2015-07-17",1500,230.07
"5000m","womens","Tirunesh Dibaba","ETH","Oslo","2008-06-06",5000,851.15
"10000m","womens","Almaz Ayana","ETH","Rio de Janeiro (OG)","2016-08-12",10000,1757.45
"4x400m","womens","Tatyana Ledovskaya (BLR),Olga Nazarova II (RUS),Mariya Pinigina (UKR),Olga Bryzgina (UKR)","SOV","Seoul (OG)","1988-10-01",1600,195.17
"marathon","womens","Paula Radcliffe","GBR","London",2003-04-13,42195,8125
"20km-walk","womens","Lui Hong","CHN","A Coruña",2015-06-06,20000,5078
